county_name,date,new_cases,deaths
Carbon County,1/26/2020,0,0
Carbon County,2/2/2020,0,0
Carbon County,2/9/2020,0,0
Carbon County,2/16/2020,0,0
Carbon County,2/23/2020,0,0
Carbon County,3/1/2020,0,0
Carbon County,3/8/2020,0,0
Carbon County,3/15/2020,0,0
Carbon County,3/22/2020,3,0
Carbon County,3/29/2020,43,1
Carbon County,4/5/2020,52,2
Carbon County,4/12/2020,38,5
Carbon County,4/19/2020,26,4
Carbon County,4/26/2020,20,3
Carbon County,5/3/2020,13,1
Carbon County,5/10/2020,15,1
Carbon County,5/17/2020,17,5
Carbon County,5/24/2020,8,2
Carbon County,5/31/2020,13,0
Carbon County,6/7/2020,9,0
Carbon County,6/14/2020,10,0
Carbon County,6/21/2020,6,1
Carbon County,6/28/2020,13,1
Carbon County,7/5/2020,11,1
Carbon County,7/12/2020,22,1
Carbon County,7/19/2020,26,0
Carbon County,7/26/2020,14,0
Carbon County,8/2/2020,11,0
Carbon County,8/9/2020,16,0
Carbon County,8/16/2020,27,0
Carbon County,8/23/2020,7,0
Carbon County,8/30/2020,9,0
Carbon County,9/6/2020,7,0
Carbon County,9/13/2020,8,0
Carbon County,9/20/2020,19,0
Carbon County,9/27/2020,10,0
Carbon County,10/4/2020,31,1
Carbon County,10/11/2020,34,0
Carbon County,10/18/2020,29,0
Carbon County,10/25/2020,44,2
Carbon County,11/1/2020,96,1
Carbon County,11/8/2020,155,4
Carbon County,11/15/2020,166,4
Lehigh County,1/26/2020,0,0
Lehigh County,2/2/2020,0,0
Lehigh County,2/9/2020,0,0
Lehigh County,2/16/2020,0,0
Lehigh County,2/23/2020,0,0
Lehigh County,3/1/2020,0,0
Lehigh County,3/8/2020,0,0
Lehigh County,3/15/2020,13,0
Lehigh County,3/22/2020,96,3
Lehigh County,3/29/2020,695,4
Lehigh County,4/5/2020,816,9
Lehigh County,4/12/2020,521,13
Lehigh County,4/19/2020,410,21
Lehigh County,4/26/2020,345,33
Lehigh County,5/3/2020,273,37
Lehigh County,5/10/2020,271,19
Lehigh County,5/17/2020,188,63
Lehigh County,5/24/2020,119,26
Lehigh County,5/31/2020,99,20
Lehigh County,6/7/2020,93,19
Lehigh County,6/14/2020,133,11
Lehigh County,6/21/2020,133,14
Lehigh County,6/28/2020,98,15
Lehigh County,7/5/2020,121,17
Lehigh County,7/12/2020,117,8
Lehigh County,7/19/2020,126,2
Lehigh County,7/26/2020,161,1
Lehigh County,8/2/2020,106,2
Lehigh County,8/9/2020,125,4
Lehigh County,8/16/2020,60,1
Lehigh County,8/23/2020,65,1
Lehigh County,8/30/2020,88,2
Lehigh County,9/6/2020,94,0
Lehigh County,9/13/2020,103,1
Lehigh County,9/20/2020,128,7
Lehigh County,9/27/2020,134,1
Lehigh County,10/4/2020,210,3
Lehigh County,10/11/2020,168,4
Lehigh County,10/18/2020,267,4
Lehigh County,10/25/2020,435,1
Lehigh County,11/1/2020,628,6
Lehigh County,11/8/2020,1027,2
Lehigh County,11/15/2020,1228,2
Northampton County,1/26/2020,0,0
Northampton County,2/2/2020,0,0
Northampton County,2/9/2020,0,0
Northampton County,2/16/2020,0,0
Northampton County,2/23/2020,0,0
Northampton County,3/1/2020,0,0
Northampton County,3/8/2020,1,0
Northampton County,3/15/2020,16,1
Northampton County,3/22/2020,77,3
Northampton County,3/29/2020,494,7
Northampton County,4/5/2020,451,12
Northampton County,4/12/2020,357,6
Northampton County,4/19/2020,384,20
Northampton County,4/26/2020,402,45
Northampton County,5/3/2020,247,64
Northampton County,5/10/2020,230,13
Northampton County,5/17/2020,207,26
Northampton County,5/24/2020,196,13
Northampton County,5/31/2020,82,21
Northampton County,6/7/2020,88,10
Northampton County,6/14/2020,72,11
Northampton County,6/21/2020,73,13
Northampton County,6/28/2020,86,7
Northampton County,7/5/2020,83,7
Northampton County,7/12/2020,85,5
Northampton County,7/19/2020,96,5
Northampton County,7/26/2020,116,1
Northampton County,8/2/2020,75,2
Northampton County,8/9/2020,81,3
Northampton County,8/16/2020,51,1
Northampton County,8/23/2020,62,4
Northampton County,8/30/2020,40,1
Northampton County,9/6/2020,72,1
Northampton County,9/13/2020,140,2
Northampton County,9/20/2020,112,1
Northampton County,9/27/2020,78,0
Northampton County,10/4/2020,266,1
Northampton County,10/11/2020,202,3
Northampton County,10/18/2020,210,2
Northampton County,10/25/2020,336,4
Northampton County,11/1/2020,436,4
Northampton County,11/8/2020,696,3
Northampton County,11/15/2020,966,4
Warren County,1/26/2020,0,0
Warren County,2/2/2020,0,0
Warren County,2/9/2020,0,0
Warren County,2/16/2020,0,0
Warren County,2/23/2020,0,0
Warren County,3/1/2020,0,0
Warren County,3/8/2020,0,0
Warren County,3/15/2020,5,0
Warren County,3/22/2020,33,2
Warren County,3/29/2020,144,4
Warren County,4/5/2020,180,12
Warren County,4/12/2020,181,21
Warren County,4/19/2020,207,24
Warren County,4/26/2020,191,21
Warren County,5/3/2020,99,19
Warren County,5/10/2020,37,15
Warren County,5/17/2020,42,8
Warren County,5/24/2020,41,5
Warren County,5/31/2020,29,1
Warren County,6/7/2020,13,6
Warren County,6/14/2020,9,4
Warren County,6/21/2020,16,14
Warren County,6/28/2020,22,5
Warren County,7/5/2020,14,6
Warren County,7/12/2020,10,2
Warren County,7/19/2020,35,0
Warren County,7/26/2020,21,1
Warren County,8/2/2020,14,1
Warren County,8/9/2020,19,0
Warren County,8/16/2020,17,0
Warren County,8/23/2020,12,0
Warren County,8/30/2020,13,0
Warren County,9/6/2020,14,0
Warren County,9/13/2020,10,0
Warren County,9/20/2020,10,0
Warren County,9/27/2020,18,0
Warren County,10/4/2020,21,0
Warren County,10/11/2020,28,0
Warren County,10/18/2020,36,0
Warren County,10/25/2020,79,0
Warren County,11/1/2020,152,0
Warren County,11/8/2020,204,0
Warren County,11/15/2020,239,2